index,position,horizon,career_stage,p0_representation,research_current,alternative,prior_status,n,origins,pooled_crps_gain_current_vs_alt,cluster_ci_low,cluster_ci_high,block_boot_gain,block_ci_low,block_ci_high,origins_improved,origin_share_improved,median_origin_gain,worst_origin_regression,loo_gain_min,loo_gain_max,loo_sign_flip,pooled_mae_gain_current_vs_alt,mae_ci_low,mae_ci_high,active_brier,active_logloss,six_state_brier,six_state_logloss,conditional_active_retention_bias,magnitude_structure,struct_adequate_origins,best_piecewise_knot,piecewise_origin_recurrence,bootstrap_knot_share,revalidation_disposition,disposition_reason,additional_research_required
10,RB,3,established,D0,D1,D0,PROPER_SCORE_EARNED_D0_TO_D1,454,9,2.69382337073777,1.3671808559975795,4.015561740946593,2.69382337073777,1.9957613846922624,3.151866155998382,9,1.0,2.762177669861713,0.999864207838584,2.459107615457535,2.895101825387216,False,-0.3494871462451672,-0.8712546788257675,0.1620263824319883,0.1856938262820379,0.5510163322656121,0.4590182980054252,0.9937206457426612,0.0372029278539668,SMOOTH_NONLINEAR,9,0.9,0.3333333333333333,0.9,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
11,RB,3,veteran,D0,D0,D1,P0_RETAINED_D0,61,9,-0.2031456454971309,-1.095427376335542,0.7736426057082991,-0.2031456454971309,-0.4035622916846431,0.2033933057991556,2,0.2222222222222222,-0.1885513432941532,-3.901957911138745,-0.4667426924321756,0.0564201275303507,True,1.2185246211560965,-0.0165239758074372,2.342202888292147,0.1263507909477482,0.394690406502266,0.2911250440335845,0.6472208166035901,-1.3672143678217858,INSUFFICIENT_EVIDENCE,0,0.8,0.0,0.67,WEAKENED,"Pooled proper-score direction no longer favors current decision, but evidence is not stable enough for a validation-stage reversal.",False
12,WR,2,developmental,D1,D1,D0,P0_RETAINED_D1,1345,10,4.279695712576522,3.405247749993775,5.192400484847134,4.2796957125765225,3.65185166973292,4.9691899856204245,10,1.0,4.202041666355649,2.5941487241493446,4.014442289862711,4.456975921712659,False,0.7764988376028203,0.2635036626933071,1.3583536910020213,0.1770409283877739,0.5275840949231101,0.6549996481432288,1.3792744974084206,-0.087667329156046,SMOOTH_NONLINEAR,10,0.8,0.5,0.5,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
13,WR,2,established,D1,D1,D0,P0_RETAINED_D1,676,10,4.20779209051995,3.010073993583284,5.469054508985966,4.20779209051995,3.686141898864421,5.18825169385406,10,1.0,4.243993821582585,2.356150770110305,3.949633361460688,4.452816653857241,False,1.0033635294129768,0.4715986728733248,1.5827207453100949,0.1723737982735255,0.5174674398941965,0.5942618075935439,1.251048644688188,-0.0389972507213442,SMOOTH_NONLINEAR,10,0.8,0.4,0.6,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
14,WR,2,veteran,D1,D1,D0,P0_RETAINED_D1,135,10,1.3055892661371555,-0.3073373755824453,2.9134832385228653,1.305589266137155,0.4335511548632459,1.8530414607919248,7,0.7,1.5913987597235506,-1.2256692234638469,1.0210670808609226,1.575313531422508,False,-0.9696909506503558,-1.9325497915613523,-0.1090229376466792,0.1747262346481967,0.5373901904173276,0.4730798790931977,1.007216755457497,0.2493134203287423,INSUFFICIENT_EVIDENCE,0,0.8,0.0,0.6533333333333333,WEAKENED,Pooled direction still favors current decision but clustered and/or temporal stability criteria are weaker under expanded walk-forward.,False
15,WR,3,developmental,D1,D1,D0,P0_RETAINED_D1,1226,9,3.4665025548455177,2.665750854241542,4.299813122997575,3.4665025548455186,3.0359347730969817,3.88244319349541,9,1.0,3.351935577965499,2.1453351708280324,3.280555271111801,3.639570606995411,False,0.2492301751315667,-0.1682944840068404,0.6669876455125907,0.1897997876224561,0.5590865659708381,0.6006657153981896,1.2812566112551,0.5829076885901463,SMOOTH_NONLINEAR,9,0.8,0.4444444444444444,0.4666666666666667,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
16,WR,3,established,D1,D1,D0,P0_RETAINED_D1,597,9,2.9725461000358284,1.9736467980890344,4.068830771871327,2.9725461000358284,2.640002687751135,3.681303748268052,9,1.0,3.228771769295933,1.3094124541476442,2.739234690933196,3.226190034447346,False,0.8177709459035974,0.2437934582262238,1.3442967558836414,0.1718835485508917,0.5185560186696123,0.5189354392361312,1.1178376251090745,0.2982753959526235,SMOOTH_NONLINEAR,9,0.8,0.4444444444444444,0.5033333333333333,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
17,WR,3,veteran,D0,D0,D1,P0_RETAINED_D0,120,9,-0.1324254054346272,-0.8438635815344356,0.9346546665886698,-0.1324254054346271,-0.41866555499803,0.1951639096918657,5,0.5555555555555556,0.0449363999260109,-0.944707265924208,-0.2423992523244023,-0.0003740442798393,False,0.6948949158603417,0.2790291460932327,1.135898037185233,0.1258442395440993,0.4192844367745607,0.2886728066750176,0.6662179157363857,0.156716669971421,INSUFFICIENT_EVIDENCE,0,0.9,0.0,0.35,WEAKENED,"Pooled proper-score direction no longer favors current decision, but evidence is not stable enough for a validation-stage reversal.",False
18,TE,2,developmental,D1,D1,D0,P0_RETAINED_D1,701,10,2.8721671204293204,2.0418366836095934,3.751420605493856,2.8721671204293204,2.5048289335428677,3.239167149550246,10,1.0,3.0203749841111582,1.2836011892516608,2.7850946290418097,3.0372779101265257,False,0.2529927339361189,-0.1952946296693868,0.6930110107499002,0.1796703600155141,0.5312495424820256,0.7073084527872091,1.4645018212647876,0.1304557240438795,SMOOTH_NONLINEAR,10,0.8,0.2,0.5266666666666666,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
19,TE,2,established,D1,D1,D0,P0_RETAINED_D1,427,10,2.9502490796127487,1.8976624078081543,4.133880640293451,2.9502490796127483,2.3991627106862827,3.397821766638787,10,1.0,2.756622811912748,1.820575325843799,2.749112176117575,3.0899718859999608,False,0.3489718913112991,-0.5106120760611567,1.2259287457501469,0.1930024446380398,0.5640259890759786,0.6284964208695047,1.3044046047164335,-0.1391178745026371,SMOOTH_NONLINEAR,10,0.8,0.4,0.57,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
20,TE,2,veteran,D1,D1,D0,P0_RETAINED_D1,76,10,1.7499167778120832,-0.0424103257097639,4.299627160258086,1.7499167778120832,0.3667870602937832,2.694235848753812,8,0.8,1.623764426008241,-1.0251324001707365,1.2310183266780073,2.076393151692415,False,-0.1896540257688252,-1.7039163973355804,2.1419122485391,0.2251926194064758,0.6452020586342,0.5926710589672193,1.2281165732310562,0.0009141382358413,INSUFFICIENT_EVIDENCE,0,0.9,0.0,0.7333333333333333,WEAKENED,Pooled direction still favors current decision but clustered and/or temporal stability criteria are weaker under expanded walk-forward.,False
21,TE,3,developmental,D1,D1,D0,P0_RETAINED_D1,636,9,2.5910767743859693,1.8185150583249523,3.4281950908539303,2.591076774385969,2.158450156436216,3.094097553331354,9,1.0,2.4517260497153,1.5716906677102078,2.4437523450574457,2.709110955158952,False,0.30441499685101,-0.1604112360571316,0.8138417538698073,0.1979372458509692,0.5766609105139,0.6670132451791944,1.407395250536991,0.6143512658204422,SMOOTH_NONLINEAR,9,0.8,0.2222222222222222,0.5166666666666667,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
22,TE,3,established,D1,D1,D0,P0_RETAINED_D1,380,9,2.06683969615332,1.130888422427792,3.096828909827214,2.06683969615332,1.5778639245469543,2.709178103360126,9,1.0,2.1913142171338995,0.8968837059645722,1.922643147231733,2.2006469794886896,False,0.2924759244519451,-0.3240146771799279,0.9243356881026178,0.1867363672547972,0.5526074128129078,0.5165555696245149,1.094440467734748,0.2151309224708184,SMOOTH_NONLINEAR,9,0.8,0.4444444444444444,0.5533333333333333,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
23,TE,3,veteran,D0,D0,D1,P0_RETAINED_D0,71,9,-0.4194740360728709,-1.7223854939154477,0.7632684665661517,-0.4194740360728709,-1.022381776791005,0.4177077739264572,3,0.3333333333333333,-0.9606814905001824,-2.5248876039703,-0.6548131631437999,-0.2599730082018535,False,0.1639716448927501,-0.8538697148232628,0.8466343696847658,0.2195825943335704,0.6639276906310653,0.5128368169589573,1.1157804464033654,0.0671330607233441,INSUFFICIENT_EVIDENCE,0,0.9,0.0,0.7,WEAKENED,"Pooled proper-score direction no longer favors current decision, but evidence is not stable enough for a validation-stage reversal.",False
