position,horizon,career_stage,current,alternative,n,early_n,mid_n,validation_n,distinct_seasons,support_eligible,crps_gain_mean,crps_gain_ci_low,crps_gain_ci_high,crps_gain_all_blocks_positive,mae_gain_mean,mae_gain_ci_low,mae_gain_ci_high,mae_block_significant_regression,top10_n,top10_authority_support,top10_crps_gain_mean,top10_crps_gain_ci_low,top10_crps_gain_ci_high,earned_selection_pre_replication,material_concern_pre_replication,concern_reasons
RB,3,established,D0,D1,336,157,88,91,7,True,2.306034019548669,0.9070403381978308,3.664535187946306,True,-0.44499123593307305,-1.0859588330151828,0.12964446246408895,False,33,False,0.0527820911386601,0.015756359547893214,0.08664635615477606,True,False,
RB,3,veteran,D0,D1,49,17,18,14,7,False,0.22278690824001524,-1.0878499494550145,1.3060226228296967,False,-0.9692662916360006,-2.0536170342880165,0.4441640376581315,True,3,False,-0.03296039281280884,-0.05152008615915237,0.0026006889889694644,False,False,
WR,2,developmental,D1,D0,945,380,272,293,7,True,-3.85037370089805,-4.727774785377604,-2.9191142808416854,False,-0.5729025628141254,-1.0785282649539243,-0.06456468682739097,True,64,True,-0.03737956972492325,-0.06482972503844417,-0.01152343606864068,False,False,
WR,2,established,D1,D0,440,185,133,122,7,True,-4.7149335303794215,-6.161160990562343,-3.2652478174719253,False,-1.0014063989193949,-1.6999931710922833,-0.27195299013036633,True,78,True,-0.03745151442070782,-0.06275531902695193,-0.00960742017841992,False,False,
WR,2,veteran,D1,D0,91,42,22,27,7,True,-1.1087886784928243,-2.4471767609272446,0.49774196874094934,False,1.2161825756878,0.16161890920370658,2.380076134730682,False,6,False,0.0249846580710212,-0.015015545281842931,0.07807534491668888,False,False,
WR,3,developmental,D1,D0,945,380,272,293,7,True,-3.3136160170263778,-4.150277502346571,-2.485812052424959,False,-0.1463906512243929,-0.6079105558332475,0.3273242217319395,False,64,True,-0.03411560426388656,-0.06490787723035342,-0.004089164893088294,False,False,
WR,3,established,D1,D0,440,185,133,122,7,True,-3.225732363269643,-4.467098982878633,-2.0681167820280044,False,-0.7666955021709942,-1.365424062376311,-0.15191875045192454,True,78,True,-0.029781880190921886,-0.05511496244805723,-0.004666547068481063,False,False,
WR,3,veteran,D0,D1,91,42,22,27,7,True,0.17907615020454135,-0.9715104580585501,0.9470398809463942,False,-0.5333500564122656,-1.0016292060029348,-0.08332638808337975,True,6,False,-0.023633742999671668,-0.066849647550995,0.010020302027457897,False,False,
TE,2,developmental,D1,D0,500,211,144,145,7,True,-3.1868729995752556,-4.100784885720495,-2.348258587528513,False,-0.3431910594342946,-0.8710401280199126,0.1819539316381148,False,39,False,-0.062293895474815154,-0.10063676293271706,-0.015743304769192078,False,False,
TE,2,established,D1,D0,282,115,82,85,7,True,-3.2059006218177286,-4.577971187179791,-1.9741754800520706,False,-0.35442815379349296,-1.4165266044969376,0.7465328638779813,False,30,False,-0.04662108118259512,-0.0873289869274155,0.0029124076374742085,False,False,
TE,2,veteran,D1,D0,58,22,18,18,7,False,-1.1710243294788971,-3.240369531171406,0.6530532764749258,False,0.8291780749157953,-0.9122150029844268,2.4094841223532817,False,14,False,-0.0038937096472188054,-0.057106985744116934,0.04907644083400172,False,False,
TE,3,developmental,D1,D0,500,211,144,145,7,True,-2.7545086900555185,-3.7300230513965134,-1.8461905398068692,False,-0.4304874165163701,-0.9796704840326332,0.11856505514863953,False,39,False,-0.054236295569031104,-0.10005058096069315,-0.007616848030927394,False,False,
TE,3,established,D1,D0,282,115,82,85,7,True,-2.268362205129688,-3.392321570759561,-1.1982191673619624,False,-0.42784858010494886,-1.1818966917859988,0.28509896928408657,False,30,False,-0.048017473506743576,-0.09260484202029634,0.0011732566658720067,False,False,
TE,3,veteran,D0,D1,58,22,18,18,7,False,0.1538701419980534,-1.0971654452334718,1.2716141878205138,False,-0.23660883000222582,-0.9417293767915675,0.6787508460439405,True,14,False,-0.0021040901667276207,-0.034389025751572405,0.026101986390533672,False,False,
