index,position,horizon,career_stage,current,alternative,n_selection,early_n,mid_n,validation_n,distinct_seasons,support_eligible,crps_gain_mean_selection,crps_gain_ci_low_selection,crps_gain_ci_high_selection,crps_gain_all_blocks_positive,mae_gain_mean_selection,mae_gain_ci_low_selection,mae_gain_ci_high_selection,mae_block_significant_regression,top10_n_selection,top10_authority_support,top10_crps_gain_mean_selection,top10_crps_gain_ci_low,top10_crps_gain_ci_high,earned_selection_pre_replication,material_concern_pre_replication,concern_reasons,n_replication,crps_gain_mean_replication,crps_gain_ci_low_replication,crps_gain_ci_high_replication,mae_gain_mean_replication,mae_gain_ci_low_replication,mae_gain_ci_high_replication,top10_n_replication,top10_crps_gain_mean_replication,replication_pass_for_earned_alternative,alternative_earned_final
10,RB,3,established,D0,D1,336,157,88,91,7,True,2.306034019548669,0.9070403381978308,3.664535187946306,True,-0.444991235933073,-1.0859588330151828,0.1296444624640889,False,33,False,0.0527820911386601,0.0157563595478932,0.086646356154776,True,False,,118,3.798037116496567,1.872195977690698,5.868175845822779,-0.0775432976423167,-0.8015319581344356,0.7085127207765779,21,0.0773955583595719,True,True
11,RB,3,veteran,D0,D1,49,17,18,14,7,False,0.2227869082400152,-1.0878499494550145,1.3060226228296967,False,-0.9692662916360006,-2.0536170342880165,0.4441640376581315,True,3,False,-0.0329603928128088,-0.0515200861591523,0.0026006889889694,False,False,,12,0.1229438226303535,-0.5902825664538981,0.7058990761304397,-2.236329466696488,-4.625429477617461,-0.901051187162285,0,,False,False
12,WR,2,developmental,D1,D0,945,380,272,293,7,True,-3.85037370089805,-4.727774785377604,-2.919114280841685,False,-0.5729025628141254,-1.0785282649539245,-0.0645646868273909,True,64,True,-0.0373795697249232,-0.0648297250384441,-0.0115234360686406,False,False,,281,-5.767642650498397,-7.25379894563928,-4.26037638851569,-1.701897155574228,-2.613836368646426,-0.7355283643291649,27,-0.0497024877034273,False,False
13,WR,2,established,D1,D0,440,185,133,122,7,True,-4.7149335303794215,-6.161160990562343,-3.2652478174719253,False,-1.0014063989193949,-1.699993171092283,-0.2719529901303663,True,78,True,-0.0374515144207078,-0.0627553190269519,-0.0096074201784199,False,False,,157,-3.718221585896988,-5.584837114703178,-1.9122685425421329,-1.0460278009340906,-2.089396564393146,-0.0912682240723393,19,-0.0233911936610962,False,False
14,WR,2,veteran,D1,D0,91,42,22,27,7,True,-1.1087886784928245,-2.447176760927245,0.4977419687409493,False,1.2161825756878,0.1616189092037065,2.380076134730682,False,6,False,0.0249846580710212,-0.0150155452818429,0.0780753449166888,False,False,,29,-0.7458027572573694,-3.203507534945732,2.665781710202185,0.8208665216377146,-0.1230399211870311,1.768161474141919,0,,False,False
15,WR,3,developmental,D1,D0,945,380,272,293,7,True,-3.3136160170263778,-4.150277502346571,-2.485812052424959,False,-0.1463906512243929,-0.6079105558332475,0.3273242217319395,False,64,True,-0.0341156042638865,-0.0649078772303534,-0.0040891648930882,False,False,,281,-3.98065834929067,-5.513394578538566,-2.4155569514810606,-0.595078396100532,-1.215567596263026,0.0265312368704663,27,-0.0204236201762932,False,False
16,WR,3,established,D1,D0,440,185,133,122,7,True,-3.225732363269643,-4.467098982878633,-2.0681167820280044,False,-0.7666955021709942,-1.365424062376311,-0.1519187504519245,True,78,True,-0.0297818801909218,-0.0551149624480572,-0.004666547068481,False,False,,157,-2.2629795024378767,-4.038593530931042,-0.718563922737726,-0.9609123168739504,-1.7659096228760274,-0.2102767702568543,19,-0.0134124556177296,False,False
17,WR,3,veteran,D0,D1,91,42,22,27,7,True,0.1790761502045413,-0.97151045805855,0.9470398809463942,False,-0.5333500564122656,-1.0016292060029348,-0.0833263880833797,True,6,False,-0.0236337429996716,-0.066849647550995,0.0100203020274578,False,False,,29,-0.0139614143606205,-1.7994481954173964,0.8866802265032183,-1.2018115437836143,-1.7426924689578347,-0.6842072809228648,0,,False,False
18,TE,2,developmental,D1,D0,500,211,144,145,7,True,-3.186872999575256,-4.100784885720495,-2.348258587528513,False,-0.3431910594342946,-0.8710401280199126,0.1819539316381148,False,39,False,-0.0622938954748151,-0.100636762932717,-0.015743304769192,False,False,,136,-2.1216653209896514,-3.629569007789527,-0.5117805099168297,0.1073431900018172,-0.600198665090071,0.7666072752654636,12,-0.0069134089868979,False,False
19,TE,2,established,D1,D0,282,115,82,85,7,True,-3.2059006218177286,-4.577971187179791,-1.9741754800520703,False,-0.3544281537934929,-1.4165266044969376,0.7465328638779813,False,30,False,-0.0466210811825951,-0.0873289869274155,0.0029124076374742,False,False,,98,-2.756381033952916,-4.709241612853383,-0.764750648152591,-0.0778995681606424,-1.1859619380426494,0.8754259057000009,11,-0.060719302967102,False,False
20,TE,2,veteran,D1,D0,58,22,18,18,7,False,-1.1710243294788971,-3.240369531171406,0.6530532764749258,False,0.8291780749157953,-0.9122150029844268,2.4094841223532817,False,14,False,-0.0038937096472188,-0.0571069857441169,0.0490764408340017,False,False,,13,-1.4986838526432698,-4.585965407638401,1.7567536209501449,-0.9031691065378932,-5.478134783850819,1.122281766578317,2,-0.0181489731059802,False,False
21,TE,3,developmental,D1,D0,500,211,144,145,7,True,-2.7545086900555185,-3.730023051396514,-1.8461905398068688,False,-0.4304874165163701,-0.9796704840326332,0.1185650551486395,False,39,False,-0.0542362955690311,-0.1000505809606931,-0.0076168480309273,False,False,,136,-1.990224143247919,-3.0720037054945624,-0.8969724587250909,0.1590865460363432,-0.5088592702330441,0.7711571813324689,12,-0.0061703677952103,False,False
22,TE,3,established,D1,D0,282,115,82,85,7,True,-2.268362205129688,-3.392321570759561,-1.1982191673619624,False,-0.4278485801049488,-1.1818966917859988,0.2850989692840865,False,30,False,-0.0480174735067435,-0.0926048420202963,0.001173256665872,False,False,,98,-1.4869483948131568,-2.8036635820905764,-0.2347692165022503,0.0970657989577187,-0.704268033135381,0.8529893526341004,11,0.0106023986091387,False,False
23,TE,3,veteran,D0,D1,58,22,18,18,7,False,0.1538701419980534,-1.0971654452334718,1.2716141878205138,False,-0.2366088300022258,-0.9417293767915677,0.6787508460439405,True,14,False,-0.0021040901667276,-0.0343890257515724,0.0261019863905336,False,False,,13,1.6044760250220564,-0.1998930124107689,5.7454509871641095,0.1601019502110641,-1.087751595132835,3.10631111977532,2,0.0593884869390573,False,False
